FID,name,descriptio,riders_15,lexington,riders_17,POINT_X,POINT_Y
130,Bay Ridge Av,R,2623309.000000000000000,0,2623309.000000000000000,-74.023389899999998,40.634799100000002
131,Bay Ridge-95 St,R,1865038.000000000000000,0,1865038.000000000000000,-74.030942899999999,40.616623699999998
132,Bedford Av,L,9388289.000000000000000,0,9388289.000000000000000,-73.957600600000006,40.717761600000003
133,Bergen St,23,1210571.000000000000000,0,1210571.000000000000000,-73.975024199999993,40.680800800000000
134,Beverly Rd,"Q* Closed for construction 7/8/2013-10/28/2013, 	2/24/2014-6/5/2014",899663.000000000000000,0,899663.000000000000000,-73.964466999999999,40.644014800000001
135,Beverly Rd,25,1392643.000000000000000,0,1392643.000000000000000,-73.948974600000000,40.645056799999999
136,Brighton Beach,BQ,4014831.000000000000000,0,4014831.000000000000000,-73.961462999999995,40.577651199999998
137,Broadway Junction,ACJLZ,3133658.000000000000000,0,3133658.000000000000000,-73.903355599999998,40.678913100000003
138,Bushwick Av-Aberdeen St,L,598393.000000000000000,0,598393.000000000000000,-73.905329699999996,40.682883599999997
139,Canarsie-Rockaway Parkway,L,4024313.000000000000000,0,4024313.000000000000000,-73.901853599999995,40.646717500000001
140,Central Av,M* Closed for construction 3/9/2013-8/16/2013,1141731.000000000000000,0,1141731.000000000000000,-73.927559900000006,40.697787099999999
141,Chauncey St,JZ,1045698.000000000000000,0,1045698.000000000000000,-73.910479499999994,40.682883599999997
142,Church Av,25,3070551.000000000000000,0,3070551.000000000000000,-73.949618299999997,40.650820099999997
143,Church Av,BQ,5707573.000000000000000,0,5707573.000000000000000,-73.962922100000000,40.650494500000001
144,Clark St,23,1997148.000000000000000,0,1997148.000000000000000,-73.993091600000000,40.697494200000001
145,Cleveland St,J,1120403.000000000000000,0,1120403.000000000000000,-73.884730300000001,40.680019700000003
146,Clinton-Washington Avs,C,2060200.000000000000000,0,2060200.000000000000000,-73.965883300000002,40.683274099999998
147,Coney Island-Stillwell Av,DFNQ,5132083.000000000000000,0,5132083.000000000000000,-73.981204000000005,40.577390399999999
148,Cortelyou Rd,"Q* Closed for construction 7/8/2013-10/28/2013, 	2/24/2014-6/13/2014",1961144.000000000000000,0,1961144.000000000000000,-73.963866199999998,40.640953799999998
149,Borough Hall,23,11360058.000000000000000,0,11360058.000000000000000,-73.989980200000005,40.693215500000001
150,Court St,R* Montague Tunnel closed for repair 10/29/2012-12/21/2012,11360058.000000000000000,0,11360058.000000000000000,-73.991782700000002,40.694110299999998
151,Atlantic Av-Barclays,DNR,13690678.000000000000000,0,13690678.000000000000000,-73.978779299999999,40.683648400000003
152,Crescent St,JZ,1626727.000000000000000,0,1626727.000000000000000,-73.873786899999999,40.683176500000002
153,Crown Heights-Utica Av,34,8965908.000000000000000,0,8965908.000000000000000,-73.932924299999996,40.668888199999998
154,Cypress Hills,J,452936.000000000000000,0,452936.000000000000000,-73.872585299999997,40.689945299999998
155,DeKalb Av,BQR,5373388.000000000000000,0,5373388.000000000000000,-73.981847799999997,40.690628599999997
156,DeKalb Av,L,3938538.000000000000000,0,3938538.000000000000000,-73.918461800000003,40.703871100000001
157,Ditmas Av,F* Closed for construction,1033946.000000000000000,0,1033946.000000000000000,-73.978156999999996,40.636166699999997
158,E 105 St,L,1187844.000000000000000,0,1187844.000000000000000,-73.899493199999995,40.650624700000002
159,Eastern Parkway-Brooklyn Museum,23,1676659.000000000000000,0,1676659.000000000000000,-73.964338299999994,40.672045599999997
160,Euclid Av,AC,3509500.000000000000000,0,3509500.000000000000000,-73.872113200000001,40.675398100000002
161,Flatbush Av-Brooklyn College,25,6487608.000000000000000,0,6487608.000000000000000,-73.947644199999999,40.632812199999996
162,Flushing Av,JM,2991074.000000000000000,0,2991074.000000000000000,-73.941078200000007,40.700292300000001
163,Ft Hamilton Pkwy,D,1297755.000000000000000,0,1297755.000000000000000,-73.994293200000001,40.640986400000003
164,Ft Hamilton Pkwy,N,2164028.000000000000000,0,2164028.000000000000000,-74.005365400000002,40.631411700000001
165,Franklin Av-Botanic Gardens,2345S,5100038.000000000000000,0,5100038.000000000000000,-73.959145500000005,40.670808700000002
166,Franklin Av,CS,2137752.000000000000000,0,2137752.000000000000000,-73.955669400000005,40.681158699999997
167,Gates Av,JZ,2100864.000000000000000,0,2100864.000000000000000,-73.922367100000002,40.689587299999999
168,Graham Av,L,3293413.000000000000000,0,3293413.000000000000000,-73.944125200000002,40.714573899999998
169,Grand Army Plaza,23,2433907.000000000000000,0,2433907.000000000000000,-73.971075999999996,40.675202800000001
170,Grand St,L,2242757.000000000000000,0,2242757.000000000000000,-73.940648999999993,40.711971499999997
171,Grant Av,A,2084651.000000000000000,0,2084651.000000000000000,-73.865160900000006,40.676992900000002
172,Halsey St,J,2083683.000000000000000,0,2083683.000000000000000,-73.916530600000002,40.686333200000000
173,Halsey St,L,2465693.000000000000000,0,2465693.000000000000000,-73.904128099999994,40.695607099999997
174,Hewes St,JM,981379.000000000000000,0,981379.000000000000000,-73.953394900000006,40.706929199999998
175,High St,AC,2656705.000000000000000,0,2656705.000000000000000,-73.990473699999995,40.699381299999999
176,Hoyt St,23,2249892.000000000000000,0,2249892.000000000000000,-73.985045000000000,40.690563500000003
177,Jay St-MetroTech,ACFR,12765132.000000000000000,0,12765132.000000000000000,-73.987276600000001,40.692271900000001
178,Jefferson St,L,2514292.000000000000000,0,2514292.000000000000000,-73.923010800000000,40.706701500000001
179,Junius St,3,928235.000000000000000,0,928235.000000000000000,-73.902454399999996,40.663549699999997
180,Kings Highway,BQ,5905481.000000000000000,0,5905481.000000000000000,-73.957686400000000,40.608739800000002
181,Kings Highway,F,1202640.000000000000000,0,1202640.000000000000000,-73.972320600000003,40.603200999999999
182,Kings Highway,N,1710115.000000000000000,0,1710115.000000000000000,-73.980345700000001,40.603950400000002
183,Kingston Av,3,1573003.000000000000000,0,1573003.000000000000000,-73.942236899999997,40.669376499999998
184,Kingston-Throop Avs,C,1992480.000000000000000,0,1992480.000000000000000,-73.940820700000003,40.679987099999998
185,Knickerbocker Av,M* Closed for construction 	8/18/2012-2/8/2013,1288025.000000000000000,0,1288025.000000000000000,-73.919792200000003,40.698665499999997
186,Kosciuszko St,J,1593719.000000000000000,0,1593719.000000000000000,-73.928847300000001,40.693394499999997
187,Lafayette Av,C,1631737.000000000000000,0,1631737.000000000000000,-73.973994300000001,40.686105400000002
188,Liberty Av,C,858554.000000000000000,0,858554.000000000000000,-73.896574999999999,40.674551800000003
189,Livonia Av,L,1001522.000000000000000,0,1001522.000000000000000,-73.900609000000003,40.663940300000000
190,Lorimer St,JM,1614154.000000000000000,0,1614154.000000000000000,-73.947515499999994,40.703806100000001
191,Marcy Av,JMZ,4204877.000000000000000,0,4204877.000000000000000,-73.957815199999999,40.708393200000003
192,Montrose Av,L,2334271.000000000000000,0,2334271.000000000000000,-73.939919500000002,40.707709999999999
193,Morgan Av,L,2453723.000000000000000,0,2453723.000000000000000,-73.933224699999997,40.706148499999998
194,Myrtle Av,JMZ,3687468.000000000000000,0,3687468.000000000000000,-73.935627900000000,40.697299000000001
195,Myrtle-Wyckoff Avs,LM,6464630.000000000000000,0,6464630.000000000000000,-73.911638300000007,40.699771800000001
196,Neck Rd,"Q* Closed for construction 	12/8/2008-1/18/2010, 	1/18/2010-10/25/2010",1305776.000000000000000,0,1305776.000000000000000,-73.955197299999995,40.595119900000000
197,Neptune Av,F* Closed for construction 11/21/2014-12/1/2014,531011.000000000000000,0,531011.000000000000000,-73.974552200000005,40.581073600000003
198,Nevins St,2345,3310625.000000000000000,0,3310625.000000000000000,-73.980560299999993,40.688187999999997
199,New Lots Av,3,2155220.000000000000000,0,2155220.000000000000000,-73.884129500000000,40.666218999999998
200,New Lots Av,L,1595607.000000000000000,0,1595607.000000000000000,-73.899235700000006,40.658764200000000
201,New Utrecht Av-62 St,DN,1857740.000000000000000,0,1857740.000000000000000,-73.996910999999997,40.626461100000000
202,Newkirk Av,25,2476287.000000000000000,0,2476287.000000000000000,-73.948459600000007,40.639944300000003
203,Newkirk Plaza,BQ,3432907.000000000000000,0,3432907.000000000000000,-73.962793399999995,40.635059400000003
204,Norwood Av,JZ,1159274.000000000000000,0,1159274.000000000000000,-73.880052599999999,40.681386600000003
205,Nostrand Av,3,1386067.000000000000000,0,1386067.000000000000000,-73.950519600000007,40.669799599999997
