station,asr_10,asr_11,asr_12,asr_13,asr_14,asr_15,wkd_10,wkd_11,wkd_12,wkd_13,wkd_14,wkd_15,wke_10,wke_11,wke_12,wke_13,wke_14,wke_15,uid,name,descriptio,riders_15,lexington,latitude,longitude,wkd_17_e
Rector St  R subway,2463933.0,2413512.0,2053706.0,1524110.0,1116833.0,1896968.0,8588.0,8083.0,6912.0,5362.0,4127.0,6157.0,5276.0,6669.0,5985.0,2917.0,1252.0,6066.0,rectorstr,Rector St,R* Closed for construction 	10/29/2012-12/3/2012,1896968.0,0,40.7077751,-74.0129507,6157.0
Rockaway Av  3 subway,1787382.0,1792136.0,1682755.0,1753354.0,1763824.0,526505.0,5729.0,5715.0,5636.0,5632.0,5735.0,1690.0,5969.0,6228.0,4906.0,5802.0,5536.0,1777.0,rockawayav3,Rockaway Av,3* Closed for construction (-239.48% change),526505.0,0,40.6625405,-73.9088917,1690.0
Rockaway Av  C subway,1499681.0,1548571.0,1574733.0,1615457.0,1641268.0,1721297.0,4815.0,4971.0,5089.0,5137.0,5223.0,5443.0,4992.0,5246.0,5512.0,5616.0,5680.0,6136.0,rockawayavc,Rockaway Av,C,1721297.0,0,40.6783598,-73.9119816,5443.0
Rockaway Blvd  A subway,2353592.0,2373967.0,2446937.0,2637100.0,2575171.0,1729268.0,7715.0,7786.0,8045.0,8662.0,8474.0,5690.0,7179.0,7289.0,7989.0,7903.0,7630.0,5142.0,rockawayblvda,Rockaway Blvd,"A* Closed for construction 5/12/2014-9/29/2014, 10/13/2014-2/2/2015",1729268.0,0,40.6804428,-73.8438106,5690.0
Rockaway Park-Beach 116 St A subway S subway,268625.0,286902.0,251080.0,135956.0,231407.0,255542.0,778.0,845.0,741.0,379.0,677.0,747.0,1085.0,1262.0,1143.0,703.0,1053.0,1137.0,rockawaypark-beach116stas,Rockaway Park-Beach 116 St,AS*Station Closed 10/12-5/13,255542.0,0,40.5809106,-73.8355923,747.0
Roosevelt Island F subway,2580003.0,2114468.0,2026567.0,1948925.0,1870476.0,1966493.0,7870.0,6576.0,6430.0,6321.0,5998.0,6197.0,10621.0,8135.0,7571.0,6123.0,6200.0,7100.0,rooseveltislandf,Roosevelt Island,F,1966493.0,0,40.759123,-73.9532661,6197.0
Saratoga Av 3 subway ,1699652.0,1743578.0,1676421.0,1777399.0,1791700.0,2442282.0,5529.0,5662.0,5697.0,5807.0,5933.0,8148.0,5305.0,5583.0,4525.0,5451.0,5137.0,6568.0,saratogaav3,Saratoga Av,3,2442282.0,0,40.6614011,-73.9164877,8148.0
Seneca Av  M subway,670795.0,758144.0,716729.0,711011.0,755026.0,842069.0,2235.0,2433.0,2461.0,2428.0,2545.0,2726.0,1812.0,2580.0,1851.0,1653.0,1957.0,2712.0,senecaavm,Seneca Av,M,842069.0,0,40.7027325,-73.907733,2726.0
Sheepshead Bay B subway Q subway,4481755.0,4096449.0,4148629.0,4205275.0,4201776.0,4296566.0,14969.0,13716.0,14083.0,14010.0,14118.0,14304.0,12344.0,11217.0,11495.0,11712.0,11092.0,11984.0,sheepsheadbaybq,Sheepshead Bay,BQ,4296566.0,0,40.5868098,-73.9541674,14304.0
Shepherd Av  C subway,917964.0,930613.0,945113.0,988620.0,1027404.0,1059106.0,2917.0,2968.0,3034.0,3149.0,3263.0,3370.0,3194.0,3241.0,3405.0,3408.0,3586.0,3669.0,shepherdavc,Shepherd Av,C,1059106.0,0,40.6740961,-73.8807821,3370.0
Simpson St  2 subway 5 subway,3057192.0,2901513.0,2810789.0,3027856.0,3121036.0,3048014.0,9815.0,9421.0,9243.0,9672.0,9948.0,9981.0,10279.0,9372.0,9045.0,10310.0,10690.0,9234.0,simpsonst25,Simpson St,25,3048014.0,0,40.8241046,-73.8929701,9981.0
Smith-9 Sts  F subway G subway,1501360.0,577571.0,0.0,926087.0,1539209.0,1636221.0,4763.0,1834.0,0.0,2854.0,4762.0,5084.0,5263.0,2068.0,0.0,3664.0,6001.0,6299.0,smith-9stfg,Smith - 9 St,FG* Closed for construction 6/20/2011-4/26/2013,1636221.0,0,40.6736079,-73.995924,5084.0
South Ferry  1 subway/Whitehall St R subway,8807719.0,9073709.0,8123655.0,6192660.0,7116897.0,8750364.0,29014.0,29583.0,26576.0,20405.0,23017.0,28809.0,25871.0,28410.0,26929.0,17996.0,22932.0,25555.0,southferry1,South Ferry,1* Closed for construction 10/29/2012-12/3/2012,8750364.0,0,40.7013823,-74.013176,28809.0
Spring St  6 subway,3727534.0,3887184.0,3999949.0,4123703.0,4169799.0,3804403.0,11132.0,11729.0,12153.0,12257.0,12327.0,11543.0,16555.0,16949.0,17778.0,18557.0,19054.0,15934.0,springst6,Spring St,6,3804403.0,1,40.7222827,-73.9971471,10042.0
Spring St  C subway E subway,3301437.0,3589809.0,3718956.0,3874428.0,3965206.0,3782314.0,11249.0,12097.0,12604.0,13136.0,13319.0,12914.0,8179.0,9562.0,10489.0,9874.0,10639.0,9150.0,springstce,Spring St,CE,3782314.0,0,40.7255351,-74.004035,12914.0
Steinway St  M subway R subway,4561738.0,4930914.0,4866245.0,4798179.0,4807448.0,4779346.0,14028.0,15036.0,15061.0,14769.0,14870.0,14895.0,18267.0,20633.0,20193.0,19118.0,18764.0,18200.0,steinwaystmr,Steinway,MR,4779346.0,0,40.75688,-73.9207792,14895.0
Sterling St  2 subway 5 subway ,1743151.0,1787824.0,1803628.0,1866122.0,1785975.0,1822524.0,5597.0,5755.0,5899.0,5915.0,5783.0,5802.0,5720.0,5913.0,5932.0,6567.0,5705.0,6267.0,sterlingst25,Sterling St,25,1822524.0,0,40.6626707,-73.9508629,5802.0
St Lawrence Av 6 subway,1655340.0,463809.0,1212796.0,1280074.0,1315456.0,1320571.0,5093.0,1427.0,3852.0,3995.0,4099.0,4185.0,6624.0,1780.0,4537.0,4805.0,4970.0,4633.0,stlawrenceav6,St Lawrence Av,6* Closed for construction 2/28/2011-10/16/2011,1320571.0,0,40.8315409,-73.86765,4185.0
Sutphin Blvd-Archer Av-JFK Airport E subway J subway Z subway,6447287.0,6839255.0,6975316.0,7303038.0,7633725.0,7767728.0,20706.0,21630.0,22285.0,23012.0,23747.0,24349.0,21309.0,24498.0,25388.0,26184.0,28862.0,28383.0,sutphinblvd-archerav-jfkairportejz,Sutphin Blvd-Archer Av-JFK Airport,EJZ,7767728.0,0,40.7004713,-73.8079333,24349.0
